conversation_001.png	等 咨 询 结 束 后 ， 再 去 吧 。
conversation_002.png	等 咨 询 结 束 后 ， 一 起 去 吧 。
conversation_003.png	这 让 人 有 点 压 力 耶 。
conversation_004.png	我 不 想 妨 碍 你 们 两 个 。
conversation_005.png	辣 可 乐 饼 。
conversation_006.png	淡 味 可 乐 饼 。
conversation_007.png	我 摸 摸 你 的 头 吧 。
conversation_008.png	我 们 一 起 去 医 院 吧 。
conversation_009.png	下 次 遇 见 了 ， 就 跟 人 家 道 歉 吧 。
conversation_010.png	… … 不 是 ， 是 那 个 人 认 错 了 。
conversation_011.png	没 吃 过 ， 这 是 今 天 才 出 的 新 品 呢 。
conversation_012.png	几 天 前 我 们 一 起 吃 过 。
conversation_013.png	昨 天 已 经 去 过 了 。
conversation_014.png	好 ， 过 一 阵 子 我 们 就 去 。
conversation_015.png	这 样 会 感 冒 的 。
conversation_016.png	身 上 湿 漉 漉 ， 会 很 不 舒 服 的 。
conversation_017.png	好 像 是 有 个 明 星 和 你 长 得 很 像 … …
conversation_018.png	是 不 是 因 为 你 像 明 星 一 样 漂 亮 呢 ？
conversation_019.png	… … 不 ， 不 可 怜 。
conversation_020.png	是 一 个 悲 伤 的 故 事 啊 。
conversation_021.png	那 就 是 我 们 经 常 去 的 可 乐 饼 店 。
conversation_022.png	要 一 起 去 吗 ？
conversation_023.png	安 妮 和 我 已 经 是 同 一 部 队 的 了 。
conversation_024.png	总 有 一 天 会 有 的 。
conversation_025.png	说 出 歌 名 。
conversation_026.png	亲 自 演 唱 。
conversation_027.png	有 什 么 烦 恼 可 以 说 出 来 。
conversation_028.png	说 安 妮 想 说 的 话 吧 。
conversation_029.png	等 咨 询 结 束 后 ， 再 去 吧 。
conversation_030.png	等 咨 询 结 束 后 ， 一 起 去 吧 。
conversation_031.png	是 有 人 和 安 妮 同 名 呢 。
conversation_032.png	安 妮 之 前 借 过 书 。
conversation_033.png	我 也 想 一 起 去 。
conversation_034.png	你 们 约 好 在 哪 家 店 见 面 ？
conversation_035.png	不 是 。
conversation_036.png	非 常 有 名 ， 上 过 电 视 。
conversation_037.png	真 的 很 神 奇 。
conversation_038.png	上 次 你 不 是 跟 我 一 起 去 过 公 园 吗 ？
conversation_039.png	… … 这 个 嘛 。
conversation_040.png	现 在 的 这 一 刻 ， 也 是 在 累 积 回 忆 啊 。
conversation_041.png	其 实 我 不 吃 辣 可 乐 饼 ， 因 为 太 辣 了 。
conversation_042.png	其 实 ， 安 妮 每 天 都 会 失 去 记 忆 。
conversation_043.png	这 不 是 我 昨 天 给 你 的 吗 ？
conversation_044.png	是 不 是 穿 着 别 人 的 衣 服 睡 着 了 ？
conversation_045.png	给 愚 蠢 的 人 类 一 点 教 训 吧 。
conversation_046.png	德 雷 克 先 低 头 的 话 ， 他 们 就 会 低 头 了 。
conversation_047.png	哈 哈 哈 哈 哈 ！
conversation_048.png	吼 吼 … …
